Date,Payee,Amount,Memo,GL Code,GL Description,Ledger,Address
2026-01-15,ABC Supply Company,1250.50,Office supplies and equipment,5100,Office Supplies,Primary Ledger,"123 Business Rd, Office City, CA 90210"
2026-01-15,Citywide Utilities,342.75,Monthly electric bill,6200,Utilities,Primary Ledger,"PO Box 555, Utility Town, CA 90211"
2026-01-16,Johnson Consulting LLC,2500.00,Q1 2026 consulting services,5300,Professional Services,Primary Ledger,"500 Consulting Blvd, San Francisco, CA 94105"
2026-01-16,Metro Insurance Group,895.00,Business liability insurance premium,6400,Insurance,Primary Ledger,"100 Insure Lane, Hartford, CT 06103"
2026-01-17,Acme Web Hosting,89.99,Annual domain and hosting renewal,5200,Technology & IT,Primary Ledger,"789 Server Alley, Silicon Valley, CA 94025"
2026-01-17,Green Clean Services,175.00,Weekly janitorial services,6100,Maintenance & Repairs,Goofy Goober fund,"321 Clean Street, Spotless, TX 75001"
2026-01-18,First National Bank,1200.00,January office rent payment,6500,Rent,Primary Ledger,"1 Finance Plaza, Money City, NY 10005"
2026-01-18,TechPro Solutions,4750.25,Network infrastructure upgrade,5200,Technology & IT,Primary Ledger,"999 Tech Drive, Austin, TX 73301"
2026-01-19,Blue Sky Marketing,3200.00,Social media advertising campaign,5400,Marketing & Advertising,Goofy Goober fund,"456 Viral Way, Los Angeles, CA 90028"
2026-01-19,QuickShip Logistics,567.80,Shipping and delivery fees,5500,Shipping & Freight,Primary Ledger,"888 Cargo Road, Memphis, TN 38116"
2026-01-20,Office Depot,234.99,Printer paper and toner cartridges,5100,Office Supplies,Primary Ledger,"Store #1234, Retail Park, FL 33101"
2026-01-20,Jane Smith,1500.00,Freelance graphic design work,5300,Professional Services,Goofy Goober fund,"42 Creative Ct, Portland, OR 97201"
2026-01-21,State Revenue Department,850.00,Quarterly sales tax payment,7100,Taxes & Licenses,Primary Ledger,"Government Center, Capital City, CA 95814"
2026-01-21,Peak Performance Training,1875.00,Employee development workshop,5600,Training & Development,Sebastian,"777 Learning Loop, Denver, CO 80202"
2026-01-22,Regional Telecom,156.43,Business phone and internet,6200,Utilities,Sebastian,"555 Connection Ave, Seattle, WA 98101"
